stat,gauss_True_count_1_rep_0,gauss_True_count_1_rep_1,gauss_True_count_1_rep_2,gauss_True_count_1_rep_3,gauss_True_count_1_rep_4,gauss_True_count_1_rep_5,gauss_True_count_1_rep_6,gauss_True_count_1_rep_7,gauss_True_count_2_rep_0,gauss_True_count_2_rep_1,gauss_True_count_2_rep_2,gauss_True_count_2_rep_3,gauss_True_count_2_rep_4,gauss_True_count_2_rep_5,gauss_True_count_2_rep_6,gauss_True_count_2_rep_7,gauss_True_count_4_rep_0,gauss_True_count_4_rep_1,gauss_True_count_4_rep_2,gauss_True_count_4_rep_3,gauss_True_count_4_rep_4,gauss_True_count_4_rep_5,gauss_True_count_4_rep_6,gauss_True_count_4_rep_7,gauss_True_count_8_rep_0,gauss_True_count_8_rep_1,gauss_True_count_8_rep_2,gauss_True_count_8_rep_3,gauss_True_count_8_rep_4,gauss_True_count_8_rep_5,gauss_True_count_8_rep_6,gauss_True_count_8_rep_7,gauss_True_count_12_rep_0,gauss_True_count_12_rep_1,gauss_True_count_12_rep_2,gauss_True_count_12_rep_3,gauss_True_count_12_rep_4,gauss_True_count_12_rep_5,gauss_True_count_12_rep_6,gauss_True_count_12_rep_7,gauss_True_count_16_rep_0,gauss_True_count_16_rep_1,gauss_True_count_16_rep_2,gauss_True_count_16_rep_3,gauss_True_count_16_rep_4,gauss_True_count_16_rep_5,gauss_True_count_16_rep_6,gauss_True_count_16_rep_7,gauss_False_count_1_rep_0,gauss_False_count_1_rep_1,gauss_False_count_1_rep_2,gauss_False_count_1_rep_3,gauss_False_count_1_rep_4,gauss_False_count_1_rep_5,gauss_False_count_1_rep_6,gauss_False_count_1_rep_7,gauss_False_count_2_rep_0,gauss_False_count_2_rep_1,gauss_False_count_2_rep_2,gauss_False_count_2_rep_3,gauss_False_count_2_rep_4,gauss_False_count_2_rep_5,gauss_False_count_2_rep_6,gauss_False_count_2_rep_7,gauss_False_count_4_rep_0,gauss_False_count_4_rep_1,gauss_False_count_4_rep_2,gauss_False_count_4_rep_3,gauss_False_count_4_rep_4,gauss_False_count_4_rep_5,gauss_False_count_4_rep_6,gauss_False_count_4_rep_7,gauss_False_count_8_rep_0,gauss_False_count_8_rep_1,gauss_False_count_8_rep_2,gauss_False_count_8_rep_3,gauss_False_count_8_rep_4,gauss_False_count_8_rep_5,gauss_False_count_8_rep_6,gauss_False_count_8_rep_7,gauss_False_count_12_rep_0,gauss_False_count_12_rep_1,gauss_False_count_12_rep_2,gauss_False_count_12_rep_3,gauss_False_count_12_rep_4,gauss_False_count_12_rep_5,gauss_False_count_12_rep_6,gauss_False_count_12_rep_7,gauss_False_count_16_rep_0,gauss_False_count_16_rep_1,gauss_False_count_16_rep_2,gauss_False_count_16_rep_3,gauss_False_count_16_rep_4,gauss_False_count_16_rep_5,gauss_False_count_16_rep_6,gauss_False_count_16_rep_7
trips_over_time,0.00209,0.01135,0.004,0.00535,0.00271,0.00403,0.00992,0.01,0.01157,0.0038,0.00919,0.00683,0.00422,0.00401,0.00832,0.00413,0.01701,0.00457,0.01162,0.01181,0.00839,0.01108,0.00413,0.01419,0.00694,0.00466,0.01158,0.02579,0.01234,0.02652,0.01151,0.00785,0.01822,0.03546,0.0107,0.02378,0.0088,0.01563,0.00821,0.02907,0.03489,0.02231,0.03763,0.0438,0.05016,0.01838,0.01045,0.01911,0.01262,0.00396,0.00198,0.00477,0.00115,0.00163,0.00397,0.00379,0.004,0.03166,0.005,0.00512,0.00701,0.01188,0.00894,0.00717,0.02654,0.02779,0.01139,0.03843,0.00572,0.05084,0.00929,0.01407,0.02885,0.01932,0.00957,0.03805,0.02116,0.05897,0.01799,0.02956,0.09069,0.07487,0.12658,0.07219,0.02383,0.03182,0.03656,0.02803,0.12624,0.05508,0.08125,0.13116,0.05702,0.13799,0.06602,0.04643
trips_per_weekday,0.29699,0.5742,0.2871,0.29362,0.0154,0.29985,0.30444,0.00276,0.29862,0.58861,0.60289,0.01899,0.58565,0.28716,0.28989,0.30112,0.28851,0.29004,0.28718,0.29273,0.5768,0.30001,0.29551,0.31723,0.31489,0.31071,0.62606,0.59405,0.32127,0.61336,0.63618,0.30824,0.31613,0.31727,0.57434,0.61495,0.03759,0.33427,0.06464,0.0155,0.05481,0.31284,0.02204,0.09306,0.29297,0.59054,0.07504,0.34818,0.57982,0.00404,0.00407,0.2885,0.28976,0.28584,0.5756,0.00136,0.59154,0.29281,0.60172,0.01901,0.00675,0.58868,0.30143,0.03666,0.68434,0.31387,0.00577,0.57714,0.28882,0.29002,0.30109,0.57574,0.10036,0.61129,0.31415,0.6171,0.33287,0.6297,0.34261,0.28602,0.85759,0.30575,0.70671,0.33,0.57187,0.30599,0.62142,0.34239,0.77551,0.60479,0.29514,0.31132,0.60174,0.62508,0.28794,0.31706
trips_per_hour,0.56766,0.47562,0.37158,0.45191,0.41993,0.59859,0.54304,0.55336,0.56261,0.59272,0.56135,0.36217,0.56665,0.49653,0.63645,0.53588,0.45648,0.64946,0.53886,0.4806,0.50327,0.56487,0.44225,0.4164,0.57038,0.53144,0.6507,0.46782,0.5563,0.50633,0.57075,0.55488,0.6535,0.69472,0.51357,0.45481,0.61555,0.6726,0.61783,0.44683,0.64349,0.44995,0.56292,0.65415,0.42618,0.4984,0.45824,0.57977,0.5144,0.45368,0.34575,0.42859,0.52905,0.43469,0.58197,0.55696,0.50323,0.45561,0.39955,0.44032,0.45397,0.54711,0.40735,0.48376,0.5284,0.5732,0.52509,0.61016,0.51019,0.75123,0.51895,0.63407,0.61148,0.70694,0.68913,0.62084,0.56091,0.47871,0.55577,0.44975,0.54631,0.69671,0.60397,0.615,0.77178,0.55674,0.54053,0.70047,0.66362,0.7673,0.54082,0.5237,0.59882,0.52117,0.58888,0.64083
visits_per_tile,0.1568,0.13693,0.15105,0.13927,0.14662,0.15077,0.15065,0.14727,0.18975,0.17699,0.17226,0.17202,0.1852,0.17983,0.17661,0.1828,0.23137,0.20727,0.21011,0.2214,0.22343,0.21113,0.21681,0.20676,0.26467,0.25041,0.26505,0.27192,0.25959,0.24881,0.27691,0.27421,0.30272,0.30322,0.30244,0.30208,0.2785,0.2857,0.32047,0.29063,0.31168,0.3024,0.2989,0.31795,0.32629,0.309,0.32075,0.3065,0.13835,0.1246,0.11696,0.13249,0.12322,0.12968,0.14338,0.12726,0.20199,0.19908,0.20328,0.21647,0.20666,0.19808,0.19262,0.1918,0.29279,0.31088,0.31051,0.30667,0.29708,0.28149,0.29715,0.29956,0.46895,0.47339,0.45685,0.45574,0.49279,0.45796,0.46721,0.48131,0.56912,0.59491,0.57359,0.59204,0.59341,0.59669,0.58733,0.59354,0.68074,0.65794,0.67478,0.6812,0.68015,0.67017,0.67833,0.70346
visits_per_tile_outliers,0.00101,0.00202,0.01065,0.00963,0.00861,0.00811,0.01204,0.00455,0.01204,0.00557,0.00354,0.00506,0.00904,0.00804,0.00101,0.00404,0.00101,0.02039,0.00302,0.00354,0.00354,0.01054,0.0173,0.01884,0.01679,0.00151,0.01628,0.02196,0.01154,0.01936,0.0005,0.02982,0.00604,0.01218,0.02442,0.01525,0.0173,0.01552,0.01651,0.02348,0.00804,0.01833,0.01104,0.00151,0.00658,0.00804,0.00709,0.00912,0.01004,0.00101,0.00252,0.00101,0.00101,0.00253,0.01502,0.00354,0.00604,0.02555,0.00811,0.00954,0.01104,0.01403,0.00101,0.01104,0.01899,0.01628,0.01218,0.0,0.00353,0.01204,0.01602,0.01701,0.07433,0.01253,0.01014,0.11373,0.00252,0.01054,0.05548,0.00854,0.00658,0.00303,0.01998,0.02835,0.01525,0.13176,0.02658,0.0185,0.03568,0.02047,0.00353,0.16022,0.07322,0.03422,0.00553,0.06303
visits_per_tile_quartiles,0.00282,0.00278,0.00311,0.00249,0.00672,0.00277,0.0064,0.00248,0.00198,0.00596,0.00443,0.00496,0.00701,0.00797,0.00435,0.00532,0.00721,0.00941,0.00399,0.00695,0.00643,0.00327,0.00589,0.00683,0.00664,0.0043,0.01037,0.00335,0.01017,0.012,0.01202,0.00658,0.01295,0.00606,0.01112,0.0088,0.01243,0.01175,0.00785,0.01251,0.00979,0.01132,0.01456,0.012,0.00913,0.00676,0.00985,0.0129,0.00573,0.00544,0.00501,0.00167,0.00765,0.00622,0.00445,0.00553,0.00766,0.00553,0.01281,0.00432,0.01066,0.003,0.00348,0.0077,0.01012,0.01281,0.01458,0.00635,0.0146,0.0124,0.01065,0.01032,0.01773,0.03137,0.02463,0.02916,0.0215,0.03884,0.02134,0.03467,0.03959,0.04707,0.05223,0.07369,0.06907,0.04802,0.03502,0.05951,0.08306,0.08646,0.08414,0.09072,0.12139,0.08302,0.08354,0.07646
visits_per_time_tile,0.65186,0.66112,0.65629,0.6578,0.66336,0.65201,0.65924,0.66974,0.73483,0.75003,0.74464,0.73959,0.73953,0.72803,0.73444,0.73742,0.82793,0.82649,0.82481,0.82354,0.81718,0.81963,0.81965,0.83261,0.91514,0.92192,0.92898,0.909,0.91504,0.91034,0.9125,0.90205,0.9701,0.9686,0.96407,0.9589,0.962,0.9653,0.9716,0.97351,1.01175,1.01094,1.00623,1.03061,1.01319,1.01624,0.9958,1.02292,0.53422,0.53039,0.54018,0.53867,0.53161,0.55243,0.53027,0.53751,0.688,0.68418,0.68264,0.70479,0.69289,0.69851,0.69516,0.70161,0.8856,0.88998,0.88619,0.87808,0.87587,0.87868,0.88113,0.87987,1.0804,1.06181,1.07084,1.0469,1.07338,1.07071,1.06214,1.07076,1.16573,1.16955,1.16384,1.16669,1.15108,1.15431,1.16558,1.16498,1.21486,1.24488,1.23118,1.2329,1.21953,1.22872,1.23562,1.2326
od_flows,1.9584,1.95837,1.95837,1.95799,1.95825,1.95803,1.95843,1.95858,1.96018,1.96058,1.96001,1.96042,1.96021,1.96015,1.96013,1.96057,1.96187,1.96142,1.96153,1.96163,1.96165,1.96195,1.96158,1.96179,1.96265,1.96268,1.96225,1.96236,1.96266,1.96231,1.96241,1.96261,1.96285,1.96289,1.96301,1.96313,1.96281,1.96327,1.963,1.96301,1.96314,1.96324,1.96339,1.96346,1.96349,1.9632,1.96326,1.96315,1.95435,1.95432,1.95456,1.95421,1.95452,1.9542,1.9548,1.95414,1.96086,1.96127,1.96115,1.96115,1.96091,1.96143,1.96139,1.96111,1.964,1.96418,1.964,1.96403,1.96408,1.96381,1.96406,1.9641,1.9654,1.9653,1.9656,1.96578,1.96579,1.96564,1.96552,1.96563,1.96618,1.96586,1.96611,1.96623,1.96601,1.96593,1.96633,1.96591,1.96616,1.96613,1.96667,1.96667,1.96628,1.96625,1.96632,1.96627
od_flows_quartiles,0.82542,0.82473,0.85095,0.84869,0.82495,0.85797,0.83273,0.83153,0.96358,0.96359,0.96122,0.96645,0.96606,0.96167,0.9631,0.96241,1.05365,1.06295,1.05895,1.05359,1.06538,1.06335,1.06466,1.06191,1.14942,1.16559,1.15755,1.14843,1.14864,1.15297,1.15335,1.15954,1.20219,1.19754,1.19612,1.18964,1.19133,1.19852,1.19237,1.18947,1.23201,1.22118,1.21982,1.221,1.24811,1.22974,1.21863,1.22547,0.70202,0.69934,0.69981,0.70214,0.69982,0.68753,0.69892,0.69914,0.9259,0.92418,0.91963,0.9346,0.93182,0.92012,0.92367,0.92235,1.14466,1.14793,1.15438,1.14208,1.17629,1.14268,1.14628,1.1424,1.35067,1.34288,1.34894,1.34433,1.35731,1.32885,1.33569,1.33913,1.44065,1.45901,1.43963,1.45003,1.43722,1.42925,1.44717,1.45765,1.50523,1.49394,1.50914,1.5045,1.48765,1.49459,1.49318,1.48802
travel_time,0.06621,0.04986,0.06776,0.04413,0.04259,0.08206,0.12022,0.08798,0.06756,0.05199,0.08278,0.0528,0.10748,0.09494,0.10546,0.07432,0.10827,0.1225,0.15575,0.22349,0.09385,0.12013,0.08153,0.10302,0.22327,0.12342,0.09154,0.22055,0.19069,0.07485,0.14739,0.1704,0.20661,0.13079,0.14583,0.19907,0.20816,0.16756,0.14214,0.28193,0.26193,0.35711,0.17487,0.13155,0.27575,0.33336,0.29576,0.20806,0.06204,0.03855,0.04295,0.02931,0.06656,0.09625,0.06894,0.04234,0.07046,0.06005,0.19181,0.07273,0.10525,0.1589,0.06295,0.05472,0.10291,0.22209,0.23915,0.21948,0.13114,0.1895,0.1312,0.12554,0.13987,0.35213,0.21814,0.36672,0.41097,0.23081,0.23046,0.34147,0.35135,0.36122,0.23316,0.52178,0.38361,0.36201,0.29915,0.49503,0.39134,0.41712,0.51877,0.45192,0.53235,0.36523,0.41463,0.52626
