stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_10,gauss_True_count_12,gauss_True_count_14,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_10,gauss_False_count_12,gauss_False_count_14
visits_per_tile,0.026,0.015,0.022,0.029,0.029,0.029,0.035,0.066,0.023,0.038,0.063,0.073,0.088,0.09
visits_per_tile_outliers,1.053,0.623,0.511,0.917,1.196,1.265,1.087,1.318,1.008,1.181,1.392,1.42,1.334,1.609
visits_per_tile_quartiles,0.176,0.135,0.204,0.188,0.203,0.157,0.194,0.222,0.182,0.236,0.253,0.253,0.254,0.254
visits_per_time_tile,0.254,0.178,0.219,0.261,0.28,0.288,0.307,0.38,0.172,0.264,0.381,0.43,0.472,0.505
