stat,0
n_records,0.00022544964196862628
n_trips,0.00025049646472412437
n_complete_trips,0.00020040219178335598
n_incomplete_trips,2.0
n_users,0.00012673769258188442
n_locations,0.00016183332638594305
uid,2.0
tid,0
datetime,0
lat,2.0
lng,0
trips_over_time,0.004175168597679635
trips_per_weekday,0.0050742290313896925
trips_per_hour,0.008343565192809385
visits_per_tile,7.835159778594971
visits_per_tile_quartiles,0.25098437724097067
visits_per_tile_outliers,2.0
visits_per_tile_ranking,"[0.7454545454545454, 0.46666666666666673, 0.5805940594059407]"
visits_per_time_tile,176.14954821268717
od_flows,0.5004375347447266
od_flows_ranking,"[0.9999999999999999, 0.22612244897959186, 0.16121212121212125]"
od_flows_quartiles,0.6858222239592108
travel_time,0.0034182904519436375
travel_time_quartiles,0.12631578947368421
jump_length,0.0007999173840456757
jump_length_quartiles,0.04749907076533085
trips_per_user,0.0004960261200418481
trips_per_user_quartiles,0.0
user_time_delta,0.009075810402727312
user_time_delta_quartiles,0.4719261479243928
radius_of_gyration,0.000798738815363757
radius_of_gyration_quartiles,0.4258087691532422
user_tile_count,0.003790434334952776
user_tile_count_quartiles,0.044444444444444446
mobility_entropy,0.015682402880083053
mobility_entropy_quartiles,0.0
