stat,gauss_True_count_1_rep_0,gauss_True_count_1_rep_1,gauss_True_count_1_rep_2,gauss_True_count_1_rep_3,gauss_True_count_1_rep_4,gauss_True_count_1_rep_5,gauss_True_count_1_rep_6,gauss_True_count_1_rep_7,gauss_True_count_2_rep_0,gauss_True_count_2_rep_1,gauss_True_count_2_rep_2,gauss_True_count_2_rep_3,gauss_True_count_2_rep_4,gauss_True_count_2_rep_5,gauss_True_count_2_rep_6,gauss_True_count_2_rep_7,gauss_True_count_4_rep_0,gauss_True_count_4_rep_1,gauss_True_count_4_rep_2,gauss_True_count_4_rep_3,gauss_True_count_4_rep_4,gauss_True_count_4_rep_5,gauss_True_count_4_rep_6,gauss_True_count_4_rep_7,gauss_True_count_8_rep_0,gauss_True_count_8_rep_1,gauss_True_count_8_rep_2,gauss_True_count_8_rep_3,gauss_True_count_8_rep_4,gauss_True_count_8_rep_5,gauss_True_count_8_rep_6,gauss_True_count_8_rep_7,gauss_True_count_12_rep_0,gauss_True_count_12_rep_1,gauss_True_count_12_rep_2,gauss_True_count_12_rep_3,gauss_True_count_12_rep_4,gauss_True_count_12_rep_5,gauss_True_count_12_rep_6,gauss_True_count_12_rep_7,gauss_True_count_16_rep_0,gauss_True_count_16_rep_1,gauss_True_count_16_rep_2,gauss_True_count_16_rep_3,gauss_True_count_16_rep_4,gauss_True_count_16_rep_5,gauss_True_count_16_rep_6,gauss_True_count_16_rep_7,gauss_False_count_1_rep_0,gauss_False_count_1_rep_1,gauss_False_count_1_rep_2,gauss_False_count_1_rep_3,gauss_False_count_1_rep_4,gauss_False_count_1_rep_5,gauss_False_count_1_rep_6,gauss_False_count_1_rep_7,gauss_False_count_2_rep_0,gauss_False_count_2_rep_1,gauss_False_count_2_rep_2,gauss_False_count_2_rep_3,gauss_False_count_2_rep_4,gauss_False_count_2_rep_5,gauss_False_count_2_rep_6,gauss_False_count_2_rep_7,gauss_False_count_4_rep_0,gauss_False_count_4_rep_1,gauss_False_count_4_rep_2,gauss_False_count_4_rep_3,gauss_False_count_4_rep_4,gauss_False_count_4_rep_5,gauss_False_count_4_rep_6,gauss_False_count_4_rep_7,gauss_False_count_8_rep_0,gauss_False_count_8_rep_1,gauss_False_count_8_rep_2,gauss_False_count_8_rep_3,gauss_False_count_8_rep_4,gauss_False_count_8_rep_5,gauss_False_count_8_rep_6,gauss_False_count_8_rep_7,gauss_False_count_12_rep_0,gauss_False_count_12_rep_1,gauss_False_count_12_rep_2,gauss_False_count_12_rep_3,gauss_False_count_12_rep_4,gauss_False_count_12_rep_5,gauss_False_count_12_rep_6,gauss_False_count_12_rep_7,gauss_False_count_16_rep_0,gauss_False_count_16_rep_1,gauss_False_count_16_rep_2,gauss_False_count_16_rep_3,gauss_False_count_16_rep_4,gauss_False_count_16_rep_5,gauss_False_count_16_rep_6,gauss_False_count_16_rep_7
visits_per_tile,1.0353,1.01902,1.04383,1.07133,0.98992,0.98323,0.99218,1.069,1.00528,1.0392,1.0217,1.01593,1.01393,1.01097,1.03272,1.05473,1.07734,1.00074,1.07309,1.08207,1.04623,1.06308,1.04913,1.01642,1.04342,0.98176,1.08465,1.06869,1.05123,1.02523,0.99991,1.06311,1.05312,0.9957,1.07755,0.97116,1.06003,1.07391,1.08157,1.06791,1.05966,1.04784,1.01212,1.05673,1.01443,1.05329,1.03272,1.04099,1.00997,0.98613,1.03406,1.02155,0.98681,0.96653,0.97868,0.97269,1.05037,0.96707,1.0371,1.0224,1.00062,0.9627,1.0786,1.02434,1.0397,1.07044,1.03512,1.05462,1.08309,1.10258,1.10596,1.06705,1.0369,1.08075,1.1252,1.02583,1.00472,1.04633,1.07383,1.06876,1.07963,1.11296,0.99629,1.11686,1.08821,1.06709,1.05484,1.08118,1.11109,1.06371,1.0614,1.08535,1.08405,1.02912,1.03849,1.01034
visits_per_tile_outliers,0.00443,0.03063,0.0595,0.06034,0.05479,0.01794,0.01342,0.05195,0.14433,0.02247,0.03922,0.09725,0.01762,0.08511,0.05195,0.01794,0.01794,0.0,0.15195,0.2113,0.21675,0.07692,0.21675,0.06452,0.06452,0.2113,0.24561,0.16867,0.11321,0.00443,0.03063,0.13665,0.15311,0.1405,0.0979,0.06867,0.21675,0.25581,0.29008,0.17073,0.0979,0.18447,0.21074,0.4456,0.05479,0.38727,0.0979,0.04348,0.01342,0.00443,0.02632,0.0362,0.05195,0.02703,0.00445,0.0,0.06897,0.08102,0.0595,0.03063,0.11268,0.10526,0.28426,0.00893,0.15951,0.08511,0.04082,0.24219,0.21429,0.61628,0.13777,0.25919,0.0316,0.45361,0.08511,0.07692,0.0,0.02703,0.09322,0.1028,0.21074,0.0,0.00445,0.13665,2.0,0.29545,2.0,2.0,0.77778,2.0,2.0,2.0,0.38095,2.0,0.95082,0.30827
visits_per_tile_quartiles,0.67342,0.66517,0.66077,0.67752,0.41024,0.65812,0.41415,0.66663,0.43992,0.70171,0.69742,0.45359,0.4379,0.43686,0.69199,0.71203,0.74599,0.47181,0.72898,0.72959,0.72423,0.72655,0.72577,0.4781,0.51506,0.51861,0.76724,0.76393,0.75655,0.51195,0.51607,0.51314,0.79396,0.52488,0.79088,0.52927,0.7887,0.78853,0.7857,0.79002,0.82212,0.549,0.54282,0.79661,0.56757,0.80789,0.80255,0.81827,0.6641,0.66794,0.67799,0.68196,0.42095,0.41698,0.42091,0.43453,0.75813,0.509,0.73757,0.50788,0.49523,0.48439,0.75254,0.49138,0.59926,0.84281,0.85063,0.858,0.85539,0.85133,0.82731,0.83851,0.70573,0.71951,0.93523,0.70384,0.69463,0.95399,0.96077,0.9241,1.01266,1.0288,0.73782,0.97391,1.02898,0.97973,0.8036,1.03795,1.07116,0.81449,1.03015,1.04296,1.05102,0.80548,0.8209,0.78963
visits_per_time_tile,0.97133,0.97608,0.97744,0.96575,0.98055,0.96528,0.98423,0.97509,0.99366,0.9801,0.99827,1.00407,0.9892,0.99151,0.99329,0.98663,0.98906,1.00408,0.9899,0.99969,1.01365,0.99988,0.99511,0.99828,1.02231,1.00533,1.00002,0.98548,0.98657,0.99836,1.01184,0.99898,0.99952,1.00886,0.99219,1.00029,1.01015,0.99763,1.01323,1.00219,1.00674,1.00264,1.01105,1.01166,1.00447,0.99894,1.02135,1.00305,0.9329,0.93012,0.93389,0.92848,0.92031,0.93101,0.93198,0.93366,0.97072,0.97303,0.96783,0.97244,0.98342,0.95909,0.97691,0.97765,0.99944,1.00479,1.00974,0.99616,0.99345,1.00768,0.99196,0.99553,0.9955,1.00935,0.99627,1.0042,0.9939,1.0162,1.01394,1.02469,1.00912,1.02152,1.00579,1.02903,1.01816,1.00623,1.01161,1.01091,1.01351,1.02527,1.02476,1.01986,1.02399,1.02712,1.01586,1.02093
