stat,gauss_True_count_1_rep_0,gauss_True_count_1_rep_1,gauss_True_count_1_rep_2,gauss_True_count_1_rep_3,gauss_True_count_1_rep_4,gauss_True_count_1_rep_5,gauss_True_count_1_rep_6,gauss_True_count_1_rep_7,gauss_True_count_2_rep_0,gauss_True_count_2_rep_1,gauss_True_count_2_rep_2,gauss_True_count_2_rep_3,gauss_True_count_2_rep_4,gauss_True_count_2_rep_5,gauss_True_count_2_rep_6,gauss_True_count_2_rep_7,gauss_True_count_4_rep_0,gauss_True_count_4_rep_1,gauss_True_count_4_rep_2,gauss_True_count_4_rep_3,gauss_True_count_4_rep_4,gauss_True_count_4_rep_5,gauss_True_count_4_rep_6,gauss_True_count_4_rep_7,gauss_True_count_8_rep_0,gauss_True_count_8_rep_1,gauss_True_count_8_rep_2,gauss_True_count_8_rep_3,gauss_True_count_8_rep_4,gauss_True_count_8_rep_5,gauss_True_count_8_rep_6,gauss_True_count_8_rep_7,gauss_True_count_12_rep_0,gauss_True_count_12_rep_1,gauss_True_count_12_rep_2,gauss_True_count_12_rep_3,gauss_True_count_12_rep_4,gauss_True_count_12_rep_5,gauss_True_count_12_rep_6,gauss_True_count_12_rep_7,gauss_True_count_16_rep_0,gauss_True_count_16_rep_1,gauss_True_count_16_rep_2,gauss_True_count_16_rep_3,gauss_True_count_16_rep_4,gauss_True_count_16_rep_5,gauss_True_count_16_rep_6,gauss_True_count_16_rep_7,gauss_False_count_1_rep_0,gauss_False_count_1_rep_1,gauss_False_count_1_rep_2,gauss_False_count_1_rep_3,gauss_False_count_1_rep_4,gauss_False_count_1_rep_5,gauss_False_count_1_rep_6,gauss_False_count_1_rep_7,gauss_False_count_2_rep_0,gauss_False_count_2_rep_1,gauss_False_count_2_rep_2,gauss_False_count_2_rep_3,gauss_False_count_2_rep_4,gauss_False_count_2_rep_5,gauss_False_count_2_rep_6,gauss_False_count_2_rep_7,gauss_False_count_4_rep_0,gauss_False_count_4_rep_1,gauss_False_count_4_rep_2,gauss_False_count_4_rep_3,gauss_False_count_4_rep_4,gauss_False_count_4_rep_5,gauss_False_count_4_rep_6,gauss_False_count_4_rep_7,gauss_False_count_8_rep_0,gauss_False_count_8_rep_1,gauss_False_count_8_rep_2,gauss_False_count_8_rep_3,gauss_False_count_8_rep_4,gauss_False_count_8_rep_5,gauss_False_count_8_rep_6,gauss_False_count_8_rep_7,gauss_False_count_12_rep_0,gauss_False_count_12_rep_1,gauss_False_count_12_rep_2,gauss_False_count_12_rep_3,gauss_False_count_12_rep_4,gauss_False_count_12_rep_5,gauss_False_count_12_rep_6,gauss_False_count_12_rep_7,gauss_False_count_16_rep_0,gauss_False_count_16_rep_1,gauss_False_count_16_rep_2,gauss_False_count_16_rep_3,gauss_False_count_16_rep_4,gauss_False_count_16_rep_5,gauss_False_count_16_rep_6,gauss_False_count_16_rep_7
visits_per_tile,0.01458,0.0096,0.01342,0.01084,0.01412,0.01057,0.01321,0.01018,0.01882,0.02427,0.01232,0.01496,0.01681,0.02292,0.02213,0.01139,0.01953,0.01592,0.01817,0.01149,0.01659,0.016,0.01966,0.02144,0.03274,0.02337,0.0259,0.02694,0.02723,0.02488,0.02956,0.02526,0.03214,0.02771,0.03255,0.02959,0.03354,0.03313,0.03283,0.02935,0.03403,0.02995,0.03222,0.02927,0.03889,0.04192,0.0362,0.03198,0.00979,0.01164,0.01361,0.01233,0.01707,0.00897,0.01144,0.00726,0.02486,0.0222,0.01922,0.02111,0.03055,0.02209,0.02349,0.01923,0.04197,0.03878,0.0349,0.0248,0.03532,0.03804,0.0293,0.04924,0.0614,0.07023,0.07497,0.05757,0.0578,0.06703,0.05577,0.0814,0.08686,0.08144,0.08331,0.08824,0.08515,0.08648,0.09263,0.08948,0.1076,0.08783,0.0972,0.11514,0.10911,0.10377,0.11579,0.11731
visits_per_tile_outliers,0.73684,0.05405,0.32258,0.32558,0.32258,0.2,0.05714,2.0,0.28571,0.11765,0.4,0.89231,0.05405,0.48276,0.66667,1.78947,0.46809,2.0,1.78947,2.0,0.75862,2.0,0.11765,1.13043,2.0,0.48276,2.0,2.0,1.6,1.12195,0.05405,1.37931,0.2439,0.66667,2.0,0.05405,1.42857,1.27273,1.27273,2.0,0.94118,0.32558,2.0,2.0,1.28,1.25773,0.95652,0.875,0.43478,1.27273,2.0,0.61538,0.05405,0.57143,0.25,0.4,2.0,0.56,0.05714,0.8,0.28571,1.02703,0.11765,2.0,2.0,1.5528,0.43478,1.57647,0.43478,2.0,0.66667,2.0,2.0,1.52632,2.0,1.23404,2.0,2.0,2.0,2.0,1.27273,1.57396,2.0,2.0,2.0,0.32558,0.57143,1.08861,2.0,1.25773,2.0,1.84176,1.02703,1.63077,2.0,2.0
visits_per_tile_quartiles,0.13326,0.02152,0.25039,0.00041,0.18422,0.00085,0.25092,0.11237,0.2507,0.25106,0.05944,0.07072,0.15688,0.25102,0.25044,0.01048,0.18466,0.03299,0.25141,0.00091,0.07629,0.04094,0.25229,0.25153,0.25129,0.25087,0.25203,0.25167,0.25075,0.25109,0.25197,0.25273,0.25111,0.25184,0.25051,0.25152,0.25194,0.25126,0.25055,0.07677,0.25293,0.25095,0.25396,0.03455,0.25145,0.25078,0.25429,0.25326,0.13291,0.18413,0.21483,0.01086,0.25111,0.01871,0.05971,0.01017,0.25157,0.25033,0.0016,0.25165,0.25086,0.25128,0.25101,0.07458,0.25033,0.25213,0.02847,0.01406,0.25218,0.25161,0.02204,0.25212,0.25251,0.25305,0.25336,0.25273,0.25277,0.25086,0.25381,0.25238,0.25379,0.25595,0.25188,0.25116,0.25468,0.25256,0.25316,0.25131,0.25321,0.25473,0.25343,0.25585,0.25536,0.25566,0.25203,0.25259
visits_per_time_tile,0.14189,0.14138,0.13677,0.14114,0.14384,0.13949,0.13997,0.13983,0.17752,0.18021,0.18126,0.17618,0.17865,0.17772,0.17783,0.17625,0.21659,0.21344,0.21853,0.21445,0.21166,0.20934,0.22326,0.21783,0.25455,0.2675,0.26509,0.26563,0.25768,0.26012,0.25485,0.25234,0.29073,0.28815,0.28775,0.28843,0.29565,0.29487,0.29488,0.28245,0.30763,0.31056,0.31804,0.30915,0.31317,0.30609,0.31576,0.31256,0.11443,0.11032,0.11122,0.10698,0.11892,0.10881,0.11673,0.11553,0.17151,0.17484,0.17265,0.177,0.1762,0.16966,0.16819,0.171,0.26224,0.26134,0.27625,0.26046,0.26214,0.27449,0.26899,0.25708,0.37415,0.39011,0.38713,0.37886,0.38464,0.39549,0.39485,0.39822,0.48937,0.4753,0.47039,0.45696,0.47969,0.47184,0.49534,0.48352,0.5282,0.53944,0.53478,0.53511,0.53948,0.54306,0.5385,0.5358
