stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_12,gauss_True_count_16,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_12,gauss_False_count_16
visits_per_tile,2.796,1.639,1.296,2.239,1.487,1.172,11.836,1.164,3.234,3.365,2.196,4.064
visits_per_tile_quartiles,0.092,0.101,0.102,0.111,0.113,0.056,0.102,0.074,0.102,0.001,0.002,0.003
visits_per_tile_outliers,0.692,0.672,0.643,0.789,0.677,0.816,0.694,0.734,0.465,0.673,0.377,0.212
visits_per_time_tile,55.011,3.964,10.876,8.751,12.239,19.134,185.709,10.802,13.856,41.826,33.862,43.436
