stat,gauss_True_count_1_rep_0,gauss_True_count_1_rep_1,gauss_True_count_1_rep_2,gauss_True_count_1_rep_3,gauss_True_count_1_rep_4,gauss_True_count_1_rep_5,gauss_True_count_1_rep_6,gauss_True_count_1_rep_7,gauss_True_count_2_rep_0,gauss_True_count_2_rep_1,gauss_True_count_2_rep_2,gauss_True_count_2_rep_3,gauss_True_count_2_rep_4,gauss_True_count_2_rep_5,gauss_True_count_2_rep_6,gauss_True_count_2_rep_7,gauss_True_count_4_rep_0,gauss_True_count_4_rep_1,gauss_True_count_4_rep_2,gauss_True_count_4_rep_3,gauss_True_count_4_rep_4,gauss_True_count_4_rep_5,gauss_True_count_4_rep_6,gauss_True_count_4_rep_7,gauss_True_count_8_rep_0,gauss_True_count_8_rep_1,gauss_True_count_8_rep_2,gauss_True_count_8_rep_3,gauss_True_count_8_rep_4,gauss_True_count_8_rep_5,gauss_True_count_8_rep_6,gauss_True_count_8_rep_7,gauss_True_count_12_rep_0,gauss_True_count_12_rep_1,gauss_True_count_12_rep_2,gauss_True_count_12_rep_3,gauss_True_count_12_rep_4,gauss_True_count_12_rep_5,gauss_True_count_12_rep_6,gauss_True_count_12_rep_7,gauss_True_count_16_rep_0,gauss_True_count_16_rep_1,gauss_True_count_16_rep_2,gauss_True_count_16_rep_3,gauss_True_count_16_rep_4,gauss_True_count_16_rep_5,gauss_True_count_16_rep_6,gauss_True_count_16_rep_7,gauss_False_count_1_rep_0,gauss_False_count_1_rep_1,gauss_False_count_1_rep_2,gauss_False_count_1_rep_3,gauss_False_count_1_rep_4,gauss_False_count_1_rep_5,gauss_False_count_1_rep_6,gauss_False_count_1_rep_7,gauss_False_count_2_rep_0,gauss_False_count_2_rep_1,gauss_False_count_2_rep_2,gauss_False_count_2_rep_3,gauss_False_count_2_rep_4,gauss_False_count_2_rep_5,gauss_False_count_2_rep_6,gauss_False_count_2_rep_7,gauss_False_count_4_rep_0,gauss_False_count_4_rep_1,gauss_False_count_4_rep_2,gauss_False_count_4_rep_3,gauss_False_count_4_rep_4,gauss_False_count_4_rep_5,gauss_False_count_4_rep_6,gauss_False_count_4_rep_7,gauss_False_count_8_rep_0,gauss_False_count_8_rep_1,gauss_False_count_8_rep_2,gauss_False_count_8_rep_3,gauss_False_count_8_rep_4,gauss_False_count_8_rep_5,gauss_False_count_8_rep_6,gauss_False_count_8_rep_7,gauss_False_count_12_rep_0,gauss_False_count_12_rep_1,gauss_False_count_12_rep_2,gauss_False_count_12_rep_3,gauss_False_count_12_rep_4,gauss_False_count_12_rep_5,gauss_False_count_12_rep_6,gauss_False_count_12_rep_7,gauss_False_count_16_rep_0,gauss_False_count_16_rep_1,gauss_False_count_16_rep_2,gauss_False_count_16_rep_3,gauss_False_count_16_rep_4,gauss_False_count_16_rep_5,gauss_False_count_16_rep_6,gauss_False_count_16_rep_7
visits_per_tile,0.01301,0.01514,0.00909,0.00698,0.00978,0.01203,0.01618,0.01033,0.01748,0.01917,0.01472,0.01227,0.0176,0.01291,0.01379,0.01915,0.02094,0.0198,0.02429,0.02323,0.01689,0.02241,0.022,0.01749,0.02425,0.02707,0.02647,0.02792,0.02716,0.02754,0.03301,0.03266,0.0277,0.04159,0.02931,0.02662,0.02654,0.03412,0.0346,0.02981,0.03166,0.02659,0.03745,0.02695,0.0321,0.03399,0.03579,0.03224,0.01628,0.0123,0.01234,0.01131,0.01507,0.01025,0.01381,0.00932,0.01654,0.01384,0.01775,0.02059,0.01836,0.02427,0.01483,0.02223,0.03413,0.04394,0.0449,0.04085,0.03661,0.03899,0.02645,0.04403,0.0739,0.06558,0.06452,0.05541,0.05647,0.06815,0.06221,0.0636,0.09289,0.09628,0.07728,0.07806,0.09074,0.09256,0.08888,0.09825,0.09607,0.09588,0.10858,0.09356,0.12206,0.10015,0.09815,0.10233
visits_per_tile_outliers,0.4,0.32558,0.36364,2.0,0.4,0.4,0.56,0.11765,0.48276,2.0,0.05405,0.11765,0.56,0.66667,0.69091,0.5,1.78947,0.2439,0.11765,1.27273,2.0,1.6,1.27273,1.6,0.11765,2.0,2.0,2.0,2.0,2.0,2.0,0.10526,0.43478,1.6,0.32558,2.0,2.0,0.2439,2.0,0.92537,1.26531,0.0,0.32558,0.94118,1.36842,2.0,1.02703,1.33333,1.0,0.18182,0.43478,2.0,1.42857,0.66667,1.13043,0.66667,1.5814,2.0,0.61538,1.32075,1.33333,1.13253,2.0,2.0,0.4,0.10526,0.66667,2.0,2.0,0.81967,1.33333,0.85714,0.85714,2.0,2.0,2.0,2.0,0.83871,0.46809,0.48276,1.78824,1.8022,2.0,1.64878,2.0,1.56098,2.0,2.0,1.26531,1.90989,2.0,0.15385,1.53247,0.83871,1.82734,0.8
visits_per_tile_quartiles,0.25036,0.25087,0.06459,0.02117,0.09181,0.09257,0.25046,0.00969,0.25091,0.25011,0.21468,0.01855,0.25131,0.01124,0.07559,0.25019,0.25036,0.25062,0.25135,0.21494,0.0801,0.25065,0.25108,0.25102,0.21491,0.25062,0.25138,0.25136,0.25109,0.25078,0.25344,0.2509,0.04632,0.25177,0.25058,0.25225,0.25162,0.25115,0.25156,0.25092,0.25131,0.04393,0.2516,0.25169,0.06596,0.25292,0.25183,0.25239,0.25082,0.25093,0.25082,0.25055,0.25073,0.07551,0.25037,0.04591,0.06489,0.07606,0.25019,0.06142,0.2517,0.25075,0.06526,0.25091,0.25158,0.25132,0.25077,0.25104,0.25211,0.25119,0.04725,0.25219,0.25388,0.25504,0.25301,0.25489,0.09692,0.25334,0.2529,0.25464,0.25222,0.25631,0.25569,0.25453,0.25654,0.25401,0.25437,0.25416,0.25284,0.25514,0.25695,0.25411,0.25915,0.25643,0.25413,0.2571
visits_per_time_tile,0.14006,0.14696,0.14895,0.14279,0.14443,0.14292,0.13732,0.14933,0.16833,0.17036,0.1793,0.1857,0.18103,0.18737,0.17635,0.16887,0.20922,0.20933,0.20902,0.2114,0.21591,0.21705,0.22361,0.22111,0.26234,0.2616,0.25739,0.26719,0.2663,0.252,0.25645,0.26636,0.30379,0.28463,0.29311,0.27733,0.28708,0.3001,0.29139,0.29436,0.31433,0.32341,0.31264,0.31011,0.31439,0.31335,0.31436,0.2994,0.1096,0.1079,0.11298,0.11528,0.11085,0.11217,0.11588,0.11795,0.16987,0.17875,0.18078,0.17356,0.17648,0.16782,0.17297,0.17359,0.25059,0.258,0.26952,0.26794,0.27285,0.27465,0.26384,0.26365,0.38047,0.38384,0.38444,0.39072,0.39435,0.37988,0.39084,0.37875,0.45673,0.46828,0.47385,0.45036,0.4865,0.47257,0.45399,0.46714,0.52897,0.53031,0.55749,0.54104,0.5315,0.53128,0.54205,0.55041
