stat,gauss_True_count_1,gauss_True_count_2,gauss_True_count_4,gauss_True_count_8,gauss_True_count_10,gauss_True_count_12,gauss_True_count_14,gauss_False_count_1,gauss_False_count_2,gauss_False_count_4,gauss_False_count_8,gauss_False_count_10,gauss_False_count_12,gauss_False_count_14
visits_per_tile,0.06,0.008,0.008,0.009,0.006,0.007,0.006,0.2,0.006,0.015,0.009,0.005,0.013,0.014
visits_per_tile_outliers,0.011,0.004,0.005,0.008,0.014,0.01,0.008,0.062,0.006,0.007,0.037,0.028,0.069,0.089
visits_per_tile_quartiles,0.004,0.003,0.001,0.002,0.003,0.003,0.005,0.029,0.003,0.004,0.008,0.009,0.024,0.018
visits_per_time_tile,0.134,0.008,0.01,0.004,0.007,0.006,0.007,0.279,0.005,0.005,0.007,0.007,0.006,0.003
