stat,gauss_True_count_1_rep_0,gauss_True_count_1_rep_1,gauss_True_count_1_rep_2,gauss_True_count_1_rep_3,gauss_True_count_1_rep_4,gauss_True_count_1_rep_5,gauss_True_count_1_rep_6,gauss_True_count_1_rep_7,gauss_True_count_2_rep_0,gauss_True_count_2_rep_1,gauss_True_count_2_rep_2,gauss_True_count_2_rep_3,gauss_True_count_2_rep_4,gauss_True_count_2_rep_5,gauss_True_count_2_rep_6,gauss_True_count_2_rep_7,gauss_True_count_4_rep_0,gauss_True_count_4_rep_1,gauss_True_count_4_rep_2,gauss_True_count_4_rep_3,gauss_True_count_4_rep_4,gauss_True_count_4_rep_5,gauss_True_count_4_rep_6,gauss_True_count_4_rep_7,gauss_True_count_6_rep_0,gauss_True_count_6_rep_1,gauss_True_count_6_rep_2,gauss_True_count_6_rep_3,gauss_True_count_6_rep_4,gauss_True_count_6_rep_5,gauss_True_count_6_rep_6,gauss_True_count_6_rep_7,gauss_True_count_8_rep_0,gauss_True_count_8_rep_1,gauss_True_count_8_rep_2,gauss_True_count_8_rep_3,gauss_True_count_8_rep_4,gauss_True_count_8_rep_5,gauss_True_count_8_rep_6,gauss_True_count_8_rep_7,gauss_True_count_10_rep_0,gauss_True_count_10_rep_1,gauss_True_count_10_rep_2,gauss_True_count_10_rep_3,gauss_True_count_10_rep_4,gauss_True_count_10_rep_5,gauss_True_count_10_rep_6,gauss_True_count_10_rep_7,gauss_True_count_12_rep_0,gauss_True_count_12_rep_1,gauss_True_count_12_rep_2,gauss_True_count_12_rep_3,gauss_True_count_12_rep_4,gauss_True_count_12_rep_5,gauss_True_count_12_rep_6,gauss_True_count_12_rep_7,gauss_True_count_14_rep_0,gauss_True_count_14_rep_1,gauss_True_count_14_rep_2,gauss_True_count_14_rep_3,gauss_True_count_14_rep_4,gauss_True_count_14_rep_5,gauss_True_count_14_rep_6,gauss_True_count_14_rep_7,gauss_False_count_1_rep_0,gauss_False_count_1_rep_1,gauss_False_count_1_rep_2,gauss_False_count_1_rep_3,gauss_False_count_1_rep_4,gauss_False_count_1_rep_5,gauss_False_count_1_rep_6,gauss_False_count_1_rep_7,gauss_False_count_2_rep_0,gauss_False_count_2_rep_1,gauss_False_count_2_rep_2,gauss_False_count_2_rep_3,gauss_False_count_2_rep_4,gauss_False_count_2_rep_5,gauss_False_count_2_rep_6,gauss_False_count_2_rep_7,gauss_False_count_4_rep_0,gauss_False_count_4_rep_1,gauss_False_count_4_rep_2,gauss_False_count_4_rep_3,gauss_False_count_4_rep_4,gauss_False_count_4_rep_5,gauss_False_count_4_rep_6,gauss_False_count_4_rep_7,gauss_False_count_6_rep_0,gauss_False_count_6_rep_1,gauss_False_count_6_rep_2,gauss_False_count_6_rep_3,gauss_False_count_6_rep_4,gauss_False_count_6_rep_5,gauss_False_count_6_rep_6,gauss_False_count_6_rep_7,gauss_False_count_8_rep_0,gauss_False_count_8_rep_1,gauss_False_count_8_rep_2,gauss_False_count_8_rep_3,gauss_False_count_8_rep_4,gauss_False_count_8_rep_5,gauss_False_count_8_rep_6,gauss_False_count_8_rep_7,gauss_False_count_10_rep_0,gauss_False_count_10_rep_1,gauss_False_count_10_rep_2,gauss_False_count_10_rep_3,gauss_False_count_10_rep_4,gauss_False_count_10_rep_5,gauss_False_count_10_rep_6,gauss_False_count_10_rep_7,gauss_False_count_12_rep_0,gauss_False_count_12_rep_1,gauss_False_count_12_rep_2,gauss_False_count_12_rep_3,gauss_False_count_12_rep_4,gauss_False_count_12_rep_5,gauss_False_count_12_rep_6,gauss_False_count_12_rep_7,gauss_False_count_14_rep_0,gauss_False_count_14_rep_1,gauss_False_count_14_rep_2,gauss_False_count_14_rep_3,gauss_False_count_14_rep_4,gauss_False_count_14_rep_5,gauss_False_count_14_rep_6,gauss_False_count_14_rep_7
visits_per_tile,0.1406734,0.13476,0.1416763,0.1335921,0.1290951,0.134706,0.1392014,0.1346014,0.1743014,0.1712167,0.1529539,0.1686428,0.1703438,0.1654907,0.1532028,0.168655,0.2025645,0.2009348,0.2113208,0.1932517,0.1879176,0.2090226,0.1906009,0.2028837,0.2137455,0.2163472,0.230489,0.2365783,0.2331865,0.2158279,0.2249144,0.2203139,0.2436443,0.2361518,0.2320267,0.249654,0.2552751,0.2404224,0.2381213,0.2566144,0.2492603,0.2533331,0.249403,0.2601148,0.2663383,0.2579978,0.250715,0.2568191,0.2659632,0.265201,0.2715587,0.263749,0.2735151,0.2676109,0.2822505,0.2819228,0.2834276,0.2795742,0.2810851,0.2964625,0.2839707,0.2879968,0.2788511,0.2779166,0.1446581,0.1368996,0.1309357,0.1226641,0.1368392,0.1377256,0.1360324,0.1357086,0.2076494,0.1911523,0.1933457,0.1994566,0.2049535,0.200841,0.2027188,0.2041596,0.2825236,0.3009685,0.3274016,0.3232696,0.294956,0.3102491,0.3184558,0.3088574,0.3776991,0.3883061,0.3977246,0.3832058,0.3878153,0.3993861,0.3835981,0.3894654,0.4497568,0.4448289,0.4600816,0.4441401,0.4653899,0.4625437,0.4609483,0.4454222,0.5218994,0.5338799,0.5285304,0.5274524,0.5254948,0.5292172,0.5230751,0.5169356,0.5931253,0.5853911,0.5765791,0.6020637,0.572193,0.5871417,0.6020267,0.569906,0.6378498,0.6350537,0.6283603,0.5978103,0.6386714,0.6315844,0.6202746,0.642462
visits_per_tile_outliers,0.0070886,0.0010096,0.0025195,0.0065806,0.0020161,0.0030318,0.0030227,0.0005044,0.0110386,0.0020202,0.0111618,0.0020202,0.0095405,0.0055654,0.0096324,0.0065376,0.010142,0.0045512,0.003538,0.0050582,0.0005044,0.0025259,0.0147395,0.013716,0.0025195,0.0110386,0.0,0.0050327,0.0025259,0.0015148,0.0045306,0.0060729,0.0194854,0.0125345,0.0025195,0.0030227,0.0060362,0.026067,0.0091232,0.0120361,0.0317776,0.0229426,0.0170085,0.0214624,0.0050327,0.0411946,0.0,0.0105395,0.02737,0.0278607,0.0145254,0.0040445,0.003538,0.0055346,0.0165124,0.003538,0.0065806,0.0010096,0.015764,0.0229426,0.0152517,0.0070886,0.0025195,0.0050327,0.015764,0.0,0.0045512,0.0060362,0.0015148,0.0025195,0.0070387,0.0025259,0.0204744,0.0025259,0.0091232,0.0015125,0.0055654,0.0020202,0.0050327,0.0100402,0.003538,0.0035256,0.0020202,0.0096324,0.0010086,0.0015125,0.0070886,0.0204744,0.0060729,0.0229426,0.0506984,0.0091232,0.0085406,0.0040445,0.0239282,0.0130326,0.0830268,0.0533541,0.0025259,0.0209024,0.1141333,0.0496925,0.0209685,0.0214624,0.075261,0.0351921,0.0189905,0.0840986,0.0135304,0.0276215,0.0209024,0.010142,0.074326,0.0234814,0.0439181,0.2207283,0.1146254,0.0045306,0.0400494,0.0544785,0.0683538,0.0170085,0.0366518,0.0155194,0.1051625,0.0296979,0.0075396,0.2742398
visits_per_tile_quartiles,0.0061527,0.0043159,0.0011471,0.0043795,0.0050081,0.0037691,0.0004764,0.0051182,0.0038342,0.0135937,0.0066739,0.0048962,0.0072334,0.0072375,0.0061031,0.0044895,0.0051179,0.0062956,0.0056629,0.0057288,0.0078846,0.0036214,0.0052032,0.0064408,0.0053929,0.0037846,0.0060166,0.005913,0.0062457,0.0073911,0.0088872,0.0128113,0.0107347,0.0072368,0.0102436,0.0072594,0.0086681,0.0116902,0.0103006,0.0083507,0.0077107,0.004087,0.0053558,0.0110211,0.0099239,0.0098832,0.0090131,0.0103527,0.0100936,0.0031765,0.0089057,0.0085341,0.007292,0.0063835,0.0123318,0.0089001,0.0226453,0.0125884,0.0069326,0.0104392,0.0048816,0.011856,0.0111825,0.0088997,0.003755,0.0039393,0.0032757,0.0052293,0.0057507,0.0050383,0.0052998,0.0044279,0.006774,0.0078445,0.0106935,0.0105175,0.0042708,0.0046467,0.003233,0.0091062,0.0041764,0.0121858,0.0087942,0.0160138,0.0153234,0.0116659,0.0068194,0.0070636,0.0232087,0.0237565,0.0251116,0.024107,0.0122522,0.0170186,0.0248282,0.0199034,0.0305723,0.0213198,0.0347972,0.0121339,0.0214733,0.0180001,0.0235237,0.0104226,0.0308502,0.0222984,0.0398125,0.0329651,0.0498966,0.0370776,0.0407366,0.0450105,0.0327699,0.0459599,0.0782053,0.1015256,0.046331,0.0463642,0.083995,0.049355,0.0888959,0.0755923,0.0697498,0.0454031,0.0734505,0.0861197,0.0391761,0.0745822
visits_per_time_tile,0.642426,0.6265898,0.6374687,0.6288603,0.6402636,0.6368698,0.6281991,0.6392275,0.7101596,0.7040552,0.7068164,0.7295921,0.7098617,0.7136808,0.7049674,0.7149767,0.8090094,0.8081735,0.7845596,0.8069241,0.7885862,0.8081314,0.7932921,0.7913217,0.8520509,0.8564402,0.8438167,0.8475414,0.8565739,0.8475741,0.8481485,0.8443165,0.8910099,0.888731,0.8829154,0.8824737,0.8868387,0.8909539,0.8848875,0.8902419,0.9089426,0.9126335,0.8945269,0.9155144,0.9083413,0.9096007,0.9010749,0.913163,0.9358894,0.9297818,0.9410481,0.9360675,0.9467185,0.9434177,0.9467064,0.9373847,0.9676796,0.9535864,0.9638707,0.964584,0.9696737,0.9557175,0.9576719,0.9506277,0.538892,0.539599,0.5361027,0.528981,0.5237364,0.5404699,0.5382685,0.5381067,0.6860903,0.6961599,0.6953057,0.6968491,0.6944855,0.7044591,0.6975171,0.7017096,0.8758592,0.8878225,0.8804779,0.8784139,0.8883088,0.8844901,0.8842834,0.8774973,0.9800784,0.9999858,0.9914542,0.9949538,0.9841463,0.9785313,0.968116,0.9932334,1.0813463,1.0649658,1.0756197,1.0687433,1.0786566,1.0729211,1.0593291,1.0688136,1.1188458,1.1310987,1.1385552,1.1311397,1.1158763,1.1283264,1.1284437,1.1291717,1.171743,1.1702426,1.176568,1.1812061,1.1706916,1.171882,1.1641562,1.1798538,1.2030596,1.2001498,1.1977132,1.2034558,1.199715,1.2012632,1.2045956,1.197973
